

Szenario 1


mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.924279 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.926298 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.928229 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.930145 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.932057 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:49.714339 - Requirement 2 violated! Voltage on bus b24 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:50.228215 - Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:50.230260 - Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:50.206085 - Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:50.209677 - Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:50.958809 - Requirement 2 violated! Voltage on bus b24 measured by sensor_10 : 10499.48 (!= 10499.58)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:51.417979 - Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.48 (!= 10499.58)
